Total Words are: 8967
----------------------------------------------
Word            	Freq.	Probability
sector          	28	0.0031225605
however         	28	0.0031225605
no              	28	0.0031225605
seasons         	28	0.0031225605
men             	27	0.0030110405
years           	27	0.0030110405
novels          	27	0.0030110405
large           	27	0.0030110405
number          	27	0.0030110405
control         	27	0.0030110405
north           	27	0.0030110405
asian           	27	0.0030110405
reviews         	27	0.0030110405
third           	26	0.0028995205
emmy            	26	0.0028995205
weiss           	26	0.0028995205
only            	26	0.0028995205
modern          	26	0.0028995205
2002            	26	0.0028995205
later           	26	0.0028995205
cast            	26	0.0028995205
made            	26	0.0028995205
best            	25	0.0027880004
much            	25	0.0027880004
industry        	25	0.0027880004
000             	25	0.0027880004
well            	25	0.0027880004
among           	25	0.0027880004
u               	25	0.0027880004
j               	25	0.0027880004
western         	25	0.0027880004
throne          	25	0.0027880004
until           	24	0.0026764804
90              	24	0.0026764804
wikipedia       	24	0.0026764804
union           	24	0.0026764804
social          	24	0.0026764804
nuclear         	24	0.0026764804
official        	24	0.0026764804
scenes          	24	0.0026764804
these           	24	0.0026764804
across          	24	0.0026764804
late            	24	0.0026764804
50              	24	0.0026764804
census          	24	0.0026764804
region          	24	0.0026764804
reign           	24	0.0026764804
how             	23	0.0025649604
awards          	23	0.0025649604
around          	23	0.0025649604
last            	23	0.0025649604
era             	23	0.0025649604
global          	23	0.0025649604
non             	23	0.0025649604
year            	23	0.0025649604
both            	23	0.0025649604
popular         	23	0.0025649604
ireland         	23	0.0025649604
development     	23	0.0025649604
40              	23	0.0025649604
report          	23	0.0025649604
66              	23	0.0025649604
articles        	23	0.0025649604
york            	23	0.0025649604
english         	23	0.0025649604
china           	22	0.0024534404
life            	22	0.0024534404
congress        	22	0.0024534404
see             	22	0.0024534404
five            	22	0.0024534404
war             	22	0.0024534404
true            	22	0.0024534404
aurangzeb       	22	0.0024534404
ready           	22	0.0024534404
crops           	22	0.0024534404
hollywood       	22	0.0024534404
three           	22	0.0024534404
did             	22	0.0024534404
oxford          	22	0.0024534404
each            	22	0.0024534404
several         	22	0.0024534404
cultural        	22	0.0024534404
court           	22	0.0024534404
use             	22	0.0024534404
reporter        	21	0.0023419204
average         	21	0.0023419204
17th            	21	0.0023419204
age             	21	0.0023419204
form            	21	0.0023419204
religious       	21	0.0023419204
american        	21	0.0023419204
won             	21	0.0023419204
while           	21	0.0023419204
industrial      	21	0.0023419204
day             	21	0.0023419204
dynasty         	21	0.0023419204
news            	21	0.0023419204
period          	21	0.0023419204
will            	21	0.0023419204
hibberd         	20	0.0022304004
terms           	20	0.0022304004
muslim          	20	0.0022304004
bengali         	20	0.0022304004
king            	20	0.0022304004
mongol          	20	0.0022304004
100             	20	0.0022304004
template        	20	0.0022304004
textile         	20	0.0022304004
2000            	20	0.0022304004
urban           	20	0.0022304004
n               	20	0.0022304004
